time,acceleration
18.68,0.027951654
18.7,0.033517507
18.72,0.025800347
18.74,0.020930181
18.76,0.022659015
18.78,0.024145855
18.8,0.024851706
18.82,0.02653457
18.84,0.028407454
18.86,0.026086358
18.88,0.019167285
18.9,0.013121238
18.92,0.008033417
18.94,0.002978022
18.96,0.003946855
18.98,0.008892417
19,0.012850406
19.02,0.016204524
19.04,0.017869671
19.06,0.015823845
19.08,0.013257046
19.1,0.012374273
19.12,0.010981523
19.14,0.006180195
19.16,0.000525597
19.18,-0.001224704
19.2,-0.00024325
19.22,0.000184535
19.24,-8.91953E-05
19.26,-0.002503947
19.28,-0.006226789
19.3,-0.009671129
19.32,-0.013575168
19.34,-0.019626809
19.36,-0.026198453
19.38,-0.032255102
19.4,-0.034613755
19.42,-0.026542413
19.44,-0.015787074
19.46,-0.008795336
19.48,-0.002680898
19.5,0.004390743
19.52,0.01139329
19.54,0.018197645
19.56,0.02488501
19.58,0.028540387
19.6,0.029744777
19.62,0.031381179
19.64,0.032623595
19.66,0.028762021
19.68,0.021987458
19.7,0.016310901
19.72,0.011379348
19.74,0.006466994
19.76,0.001597937
19.78,-0.003148829
19.8,-0.007890306
19.82,-0.0126795
19.84,-0.017513114
19.86,-0.022413752
19.88,-0.026415416
19.9,-0.02444511
19.92,-0.018358835
19.94,-0.013166592
19.96,-0.008544783
19.98,-0.003603408
20,0.001199333
20.02,0.005509439
20.04,0.00630641
20.06,0.003109347
20.08,-0.000217493
20.1,-0.003110888
20.12,-0.006356461
20.14,-0.00959047
20.16,-0.008627918
20.18,-0.002403903
20.2,0.003966273
20.22,0.009643612
20.24,0.014444814
20.26,0.012842477
20.28,0.007986602
20.3,0.004193388
20.32,0.000713363
20.34,-0.002807263
20.36,-0.002336102
20.38,0.001575615
20.4,0.005169587
20.42,0.008440914
20.44,0.009132393
20.46,0.001367623
20.48,-0.008938097
20.5,-0.01784387
20.52,-0.026500796
20.54,-0.028272776
20.56,-0.020461811
20.58,-0.012242901
20.6,-0.005442245
20.62,-0.000495341
20.64,-0.004233289
20.66,-0.011731787
20.68,-0.017942134
20.7,-0.023930527
20.72,-0.025498966
20.74,-0.019806447
20.76,-0.013596966
20.78,-0.008581021
20.8,-0.001810156
20.82,0.003718126
20.84,0.008976388
20.86,0.014186333
20.88,0.019399665
20.9,0.02454199
20.92,0.029245309
20.94,0.028898625
20.96,0.023873941
20.98,0.019438258
21,0.018836577
21.02,0.020197897
21.04,0.015902218
21.06,0.00603384
21.08,-0.002700538
21.1,-0.002071919
21.12,0.006066198
21.14,0.01358881
21.16,0.020204117
21.18,0.023056416
21.2,0.020260706
21.22,0.017097983
21.24,0.014844245
21.26,0.012319487
21.28,0.009349805
21.3,0.002308096
21.32,-0.009074145
21.34,-0.020342824
21.36,-0.029844744
21.38,-0.030877709
21.4,-0.026056723
21.42,-0.022151788
21.44,-0.018847905
21.46,-0.014954077
21.48,-0.011072303
21.5,-0.007461984
21.52,-0.005272821
21.54,-0.007087913
21.56,-0.01015676
21.58,-0.012690262
21.6,-0.015346818
21.62,-0.018303426
21.64,-0.021266087
21.66,-0.023885797
21.68,-0.023929555
21.7,-0.022222357
21.72,-0.0208552
21.74,-0.018591081
21.76,-0.009094994
21.78,0.004671466
21.8,0.014908104
21.82,0.019028124
21.84,0.021005132
21.86,0.020016133
21.88,0.018141129
21.9,0.019218124
21.92,0.022319121
21.94,0.025072122
21.96,0.02776013
21.98,0.030759144
22,0.031802167
22.02,0.022607197
22.04,0.008578933
22.06,-0.002476126
22.08,-0.007261381
22.1,-0.009988636
22.12,-0.010875591
22.14,-0.008922647
22.16,-0.006772906
22.18,-0.005123469
22.2,-0.003363836
22.22,-0.001532407
22.24,0.000172373
22.26,0.001807932
22.28,0.003421543
22.3,0.004984447
22.32,0.006561644
22.34,0.008547032
22.36,0.010768612
22.38,0.012681581
22.4,0.01055554
22.42,0.003860785
22.44,-0.002852385
22.46,-0.008965172
22.48,-0.015422777
22.5,-0.022004903
22.52,-0.027499051
22.54,-0.030176222
22.56,-0.028003415
22.58,-0.02034663
22.6,-0.012272866
22.62,-0.004886422
22.64,0.001725707
22.66,0.00284752
22.68,0.001129101
22.7,0.000727282
22.72,0.002510195
22.74,0.004767772
22.76,0.006785445
22.78,0.008912016
22.8,0.010965087
22.82,0.010587759
22.84,0.007983034
22.86,0.005564412
22.88,0.003426495
22.9,0.001324083
22.92,-0.000137864
22.94,-0.001327124
22.96,-0.002629617
22.98,-0.003189103
23,-0.000475801
23.02,0.00361675
23.04,0.007203191
23.06,0.010739241
23.08,0.013486002
23.1,0.011110774
23.12,0.008241857
23.14,0.01132835
23.16,0.015808153
23.18,0.018953964
23.2,0.018528783
23.22,0.013700608
23.24,0.008587636
23.26,0.004073565
23.28,-0.000692828
23.3,-0.005173586
23.32,-0.004617271
23.34,4.44942E-05
23.36,0.003055626
23.38,0.002984602
23.4,0.002794461
23.42,0.003080498
23.44,0.003148311
23.46,0.003107998
23.48,0.002762455
23.5,-0.000602041
23.52,-0.006059233
23.54,-0.011166584
23.56,-0.016081077
23.58,-0.021227614
23.6,-0.023651199
23.62,-0.019812832
23.64,-0.014724515
23.66,-0.010663249
23.68,-0.006441933
23.7,-0.001950169
23.72,-0.000101235
23.74,-0.004723392
23.76,-0.01086968
23.78,-0.016045718
23.8,-0.021430806
23.82,-0.025043942
23.84,-0.020705126
23.86,-0.013321354
23.88,-0.007227125
23.9,-0.001210636
23.92,0.005180516
23.94,0.008579636
23.96,0.008153425
23.98,0.007679486
24,0.007759023
24.02,0.007573637
24.04,0.007287631
24.06,0.007144407
24.08,0.007040567
24.1,0.006931912
24.12,0.006866544
24.14,0.006850165
24.16,0.006868274
24.18,0.006922474
24.2,0.006883066
24.22,0.006033149
24.24,0.004697925
24.26,0.003492994
24.28,0.002062755
24.3,-0.00153919
24.32,-0.006577642
24.34,-0.011360001
24.36,-0.015631666
24.38,-0.015426337
24.4,-0.011373013
24.42,-0.007750392
24.44,-0.004648273
24.46,-0.001551954
24.48,-0.003180634
24.5,-0.009884409
24.52,-0.016502079
24.54,-0.02254274
24.56,-0.028177391
24.58,-0.027238027
24.6,-0.021617645
24.62,-0.016871241
24.64,-0.012684808
24.66,-0.008023842
24.68,-0.003373436
24.7,0.001069116
24.72,0.005530619
24.74,0.01004538
24.76,0.015227705
24.78,0.0228755
24.8,0.03153137
24.82,0.03990632
24.84,0.048273354
24.86,0.055617475
24.88,0.061907685
24.9,0.064375984
24.92,0.059940371
24.94,0.051576844
24.96,0.036684398
24.98,0.019790028
25,0.003975628
25.02,-0.01169351
25.04,-0.023676691
25.06,-0.018871823
25.08,-0.006708711
25.1,0.003041038
25.12,0.011165019
25.14,0.011017027
25.16,0.005032356
25.18,6.0105E-05
25.2,-0.004212548
25.22,-0.009046994
25.24,-0.013868743
25.26,-0.018429702
25.28,-0.022996675
25.3,-0.027520669
25.32,-0.028078687
25.34,-0.022387733
25.36,-0.016133811
25.38,-0.010881923
25.4,-0.005481671
25.42,-0.002272257
25.44,-0.002291383
25.46,-0.002651151
25.48,-0.002716061
25.5,-0.003169217
25.52,-0.003935518
25.54,-0.004844267
25.56,-0.006861365
25.58,-0.010569313
25.6,-0.014827912
25.62,-0.019145562
25.64,-0.023858265
25.66,-0.02895802
25.68,-0.034215826
25.7,-0.036322682
25.72,-0.031879586
25.74,-0.026474534
25.76,-0.022138522
25.78,-0.015406546
25.8,-0.006364402
25.82,0.002232718
25.84,0.010381218
25.86,0.016581104
25.88,0.017977982
25.9,0.018272856
25.92,0.019355731
25.94,0.020096611
25.96,0.0172985
25.98,0.0119164
26,0.007085215
26.02,0.002764947
26.04,-0.000570802
26.06,0.001186971
26.08,0.005752966
26.1,0.010251187
26.12,0.015068236
26.14,0.020441314
26.16,0.024707422
26.18,0.028023561
26.2,0.030242732
26.22,0.028869934
26.24,0.026489166
26.26,0.022790425
26.28,0.01716771
26.3,0.011675016
26.32,0.006681141
26.34,0.001508681
26.36,-0.005445669
26.38,-0.013532613
26.4,-0.017420254
26.42,-0.014914896
26.44,-0.011919542
26.46,-0.009870496
26.48,-0.007480859
26.5,-0.004924934
26.52,-0.002646624
26.54,-0.000527669
26.56,0.001498247
26.58,0.003335103
26.6,0.004822538
26.62,0.003811748
26.64,-5.936E-05
26.66,-0.004211811
